Restaurant_Name,City,District,Address,Phones
Masmat El Tayeb,Giza.,Kerdasa,"1 Abdel Rahman El Shimy St. - Rd. 8 Previously, Ezbet El Essaily, Kafr Berak El Khayyam",
Masmat El Tayebeen,Giza.,Boulak El Dakrour,"59 El Thalaga St., Saft El Laban",
Masmat El Wensh,Cairo.,El Marg,6 Mohamed Hassan St.,
Masmat El Zaeem,Giza.,Auseem,"2 Mahmoud Abdel Rahman St., Bashteel Village",
Masmat Elmoez,Cairo.,New Cairo,"Plot 100 Mogamaa El Bonouk St., Off El Tesaeen St., 5th Compound",
Masmat Gad,Giza.,El Haram,"1 El Amel St., El Omraneya El Gharbeya",
Masmat Gedo El Gazzar,Giza.,Imbaba,"1 Abou Rawash Abdel Moaty St., El Monira El Gharbeya",
Masmat Habayeb El Hussein,Cairo.,El Darrasa,El Gammaly St. Off El Mansoureya St.,
Masmat Habayeb El Sayeda,Cairo.,Ain Shams El Gharbeya,"13 El Arbaeen St., Arab El Tawila",
Masmat Mokhtar,Cairo.,Ain Shams El Gharbeya,62 El Mashroua St.,
Masmat Sahloul,Giza.,Boulak el dakrour,"42 Teraet Zeineen St., Zeineen",
Masmat Sayed Kersha,Giza.,Imbaba,99 El Orouba St.,
Masmat Sheikh El Arab,Giza.,Manshyet el qanatir,2 El Galatema Rd.,
Masmat Shobeik Lobeik,Giza.,Mohandeseen,"82 El Gharib St., Meet Oqba",
Masmat Tabark,Giza.,Imbaba,Nady Imbaba El Riady St.,
Masmat Tahabish,Kaliobeya. See All Branches❯,Shoubra el khaymah,15th Of May St.,
Masmat Teama,Giza.,Boulak el dakrour,"9 Bahgat El Shorbagy St., El Shorbagy",
Masmat Tito,El monofeya.,Ashmoun,"53 El Bagour Rd., Sentris",
Masmat Umm Hashem,Cairo.,El maasara,2 Abdel Sattar Fouda St. Off El Nasr St.,
Masmat Zizo,Cairo.,El maasara,109 Teraet El Khashab St.,
Masmet Am Baraka,Giza.,Faisal,70 Kaabish St.,
Masrawy Restaurant,Giza.,Faisal,"3 Ossama Abou Omayra St., Off Faisal St., Hassan Mohamed",
Masrawy Restaurants,Giza. See All Branches❯,Faisal,"98 Faisal St., El Mariouteya",
Mastaba,Cairo. See All Branches❯,New cairo,"El Obour St., Off El Tesaeen St., 5th Compound",
Matbakh El Badawy,El dakahleya.,El mansoura,Abdou Maarouf St.,
Matbakh El Chef Said,Cairo.,New cairo,", .",
Matbakh El Kabsa,Giza.,6th of october,"204 El Maahad El Azhary St. Off Central Spine, 2nd Neighbourhood, 1st District",
Matbakh ummy,Giza.,6th of october,", Freelance Business",
Mawal Restaurant,Cairo.,Azhar,125 El Azhar St.,
Maxim's,Alexandria.,El mamorah,"Passage B, El Nasr St.",
Mayyal Restaurant,Cairo.,Maadi,"19 Rd. 231, Degla",
Mazagangy,El menia.,Bani mazar,Sharq El Mahatta,
Mazaq Restaurant,Cairo.,Mokattam,"Plot 420, Rd. 9",
Meat & Baker,Cairo.,Maadi,"46 El Nasr St., El Gazaer Sq., New Maadi",
Mecca Restaurant,Alexandria.,Camp shizar,44 El Guish Rd.,
Melouk El Seman Restaurant,Cairo.,Nasr city,"El Sheikh Kamal Khedr St., El Sefarat District",
Merbey,El gouna. See All Branches❯,Abou tig marina,Amr Khalil St.,
Meshmesh Restaurant,Cairo.,El maasara,Airport St.,
Miami Restaurant,Marsa matrouh.,Downtown,"El Corniche Rd., Intersection Of Zaher Galal St.",
Mimi,El gharbeya. See All Branches❯,Tanta,Abdel Halim St. Off El Bahr St.,
Mira Kitchen,Cairo.,Abdin,13 Qawala St.,
Mirita Restaurant,El sharkeya.,10th of ramadan,8th Neighbourhood,
Moamen Restaurant,Cairo.,Nasr city,109 El Khalifa El Kaher St.,
Moamen Restaurant,Kafr el sheikh.,Fuwah,El Fath St.,
Mohamed 2 Restaurant,Cairo.,New cairo,"9 7th Neighbourhood, 1st Compound",
Mohamed El Sharkawy Restaurant,Cairo.,Mokattam,Plot 6348 El Gamaa El Haditha St.,
Mohamed El Sharqawy,Cairo.,El marg,moassaset El Zakah st.,
Mohamed El Sharqawy Restaurant,Cairo. See All Branches❯,Gesr el suez,"116 A Gesr El Suez St., El Alf Maskan",
Mohamed El Sharqawy Restaurant,Cairo. See All Branches❯,Hadayek el zaitoun,68 Gesr El Suez St.,
Mohamed El Sharqawy Restaurant,Cairo.,Misr el kadima,71 Hassan El Anwar St.,
Mohamed El Sharqawy Restaurant,Cairo.,Nasr city,"21 Shabab El Mohandeseen Bldgs., El Nasr Rd.",
Mohamed El Sharqawy Restaurant,Cairo.,Nasr city,21 Shabab El Mohandeseen Bldgs. El Nasr Rd.,
Mohamed Zaky Hegab,Cairo.,Bab el khalk,38 El Qalaa St.,
Monmon Chef,Kaliobeya.,Shoubra el khaymah,Nasser St.,
Monsieur Sogoaa,Cairo.,New cairo,"Rd. 29, 2nd District, 3rd Zone, 5th Compound",
Moonstruck Restaurant,Giza.,6th of october,"El Marwa St., Off Waslet Dahshour Rd., District 11, El Sheikh Zayed",
Mosaic,Quseir.,Downtown,Quseir Safaga Rd.,
Mostafa Darwish Restaurant,Assyout. See All Branches❯,Gharb district,"El Sheikh Aly Abdel Dayem St., El Bonouk Sq.",
Mostafa El Sharqawy Restaurant,Kaliobeya.,El khosous,10 Hussein El Kordy St.,
Mostafa Gad Restaurants,Alexandria. See All Branches❯,Raml station,2 Mahmoud Azmy St. - Salah Salem St. Previously,
Mr. Hamid Restaurant,Cairo.,Nasr city,"22 Emad El Din Kamel St., Off The Beginning Of Abbas El Akkad",
Msh Puppy,Giza.,6th of october,"El Hosary Sq., Central Spine, 7th District",
Mso Restaurant,Cairo.,Hadayek el kobba,"47 Iskander Mina St., El Waily El Kabir",
Mtb5h Soliman,Cairo.,Maadi,"El Khamseen St., Zahraa El Maadi",
Mumm,Cairo.,Maadi,", ., Hadayek El Maadi",
Mums Chefs,Giza.,Imbaba,", .",
Murano Restaurant & Cafe,Alexandria. See All Branches❯,Sidi gaber,El Guish Rd.,
Muy Frito,Giza.,6th of october,", .",
N8n8a,Cairo.,Maadi,"32 Rd. 9, Thakanat El Maadi",
Nabawy Restaurant For B. B. Q.,El beheira.,Damanhour,El Guish Towers Nabawy St.,
Nada Sons Restaurant,Giza.,Auseem,"15 Mohamed Abdel Hady St., Bashteel Village",
Nagaf Restaurant,Cairo. See All Branches❯,Abbasseya,315 Ramsis St.,
Nasr Sons Restaurant,Cairo.,Misr el kadima,"El Emamain St., Ezbet Khairallah",
Nassar Restaurant,Alexandria.,El mansheya,145 26Th Of July St.,
Nasser Sons Restaurant,Cairo.,Ghamrah,port said st.,
Nawar El Sharqawy Restaurant,Cairo.,Maadi,14 Ahmed Zaky St.,
Nazmi Restaurant,Alexandria.,Glim,El Guish Rd.,
Neama Restaurant,Cairo.,Helmeyet el zaitoun,83 Tomanbay St.,
Neama Restaurants,Giza.,6th of october,", El Kafrawy Spine, 7th Neighbourhood, 3rd District",
Neamah Restaurant,North coast. See All Branches❯,Alex. matrouh desert rd.,Km 72.5,
Nefa El Nagahy Restaurant,Cairo.,Azhar,24 El Menagedin St. Off El Fahhamin St.,
Negm El Ageeb Restaurant,Giza.,Dokki,101 El Tahrir St.,
Negmet El Zaher,Cairo.,El zaher,3 EL Sabaa St. Off EL Zaher St.,
Negresco Restaurant,Marsa matrouh.,El lido,El Corniche Rd.,
Nember One For Home Made Food,El dakahleya.,El mansoura,", .",
Nemra Wahed Restaurant,Cairo.,Madinty,", Oasis Madinty",
New Felfela,Cairo.,Heliopolis,"71 El Merghany St., koleyet El Banat",
New Kebdaky Restaurant,Cairo.,El bassateen,6 Hamed Nafea St.,
Nomad,Giza.,Dokki,20 Abdel Rahim Sabry St.,
Noon Restaurant,Cairo.,Zamalek,2 A Taha Hussein St.,
Nos Fino,Alexandria.,Sidi gaber,El Guish Rd.,
Nos Kebda,Giza.,El haram,"431 L El Guish St., Hadayek El Ahram",
Nos Kebda,Giza.,Bein el sarayat,"2 Lebana St., Off Ahmed Zewail St. - Tharwat St. Previously",
Nos Ragheef,Giza.,6th of october,"7th Neighbourhood, 1St District, El Sheikh Zayed",
Nour El Hoda,Alexandria.,El bitash,el bitash st.,
Nour El Sabbah,El dakahleya.,Mit ghamr,Saad Zaghloul St.,
Nour's Kitchen,Cairo.,New cairo,", ., 5th Compound",
Nubian Sky Restaurant & Cafe,Hurghada.,Villages rd.,", Marina Zone",
Nubian Village,Aswan.,Downtown,Abtal El Tahrir St.,
Oakal Restaurant,Cairo.,El marg,21 Masnaa El Toub St.,
Oasis Cafe,Safaga.,Villages rd.,Km 8 Hurghada Safaga Rd.,
Odeon Palace Restaurant,Cairo.,Downtown,6 Dr. Abdel Hamid Said St. Off Talaat Harb St.,
Olives,Luxor.,Luxor,"13 El Karnak El Gadid St., LUXOR",
Om Mohamed Restaurant,El gharbeya. See All Branches❯,Tanta,"2 El Fateh St., El Zahraa Tower",
Om Yassin Restaurant,Giza.,Giza,10 Mahmoud Fahmy El Noqrashy St.,
Omar El Mokhtar Restaurant & Cafeteria,North coast.,Alex. matrouh desert rd.,"Km 117, ",
On The Grill,Giza.,6th of october,", Service Spine, 10th District",
Oriental Restaurant,Cairo.,El zaytoun,41 El Aziz Bellah St.,
Oriental Restaurants,Cairo.,Maadi,"nerco bldgs., 5th sector, Degla",
Ormet Fahmy,Cairo. See All Branches❯,Heliopolis,"El Shaheed Sayed Zakareya St., Sheraton El Matar, El Nozha",
Osta,Cairo.,Nasr city,106 Abbas El Akkad St.,
Ozoma Eskandrany,Giza.,6th of october,"Central Spine, 3rd District",
Pablo And Abdo,Cairo. See All Branches❯,Heliopolis,"96 Omar Ibn El Khattab St., Almaza",
Pablo Cafe & Restaurant,Alexandria. See All Branches❯,Stanly,267 El Guish Rd.,
Pallo,Cairo.,Mokattam,5 El Nafoura Sq.,
Panorama Port Said Restaurant,Port said.,El afrang district,71 El Gomhoureya Intersection Of Tarh El Bahr St.,
Panorama Restaurant,Aswan.,El corniche,Corniche El Nil St.,
Papa Aly 2000 Restaurant,Cairo.,Maadi,4 Mohamed Saleh St. Off Rd.154,
Papa Hanoud,Cairo.,Nasr City,"2 A El Sharq Lel Taamin Bldgs., ",
Papparoti Cafe,"Cairo.
See All Branches
❯",Nasr City,Omar Ibn El Khattab St.,
Papyrus,Sharm El Sheikh.,Nabq Bay,El Gharqana,
Paradiso Restaurant,Cairo.,Maadi,"16 Mohamed Nour El Din St., El Arab",
Pasta Factory,Cairo.,Nasr City,"39 Abdel Razeq El Sanhoury St., Off Makram Ebaid St.",
Pasto Restaurant,Cairo.,Madinty,"Km 33, Cairo Suez Rd.",
Pearl Restaurant,Cairo.,Maadi,32 Rd. 7 Intersection Of Rd. 82,
Petit Palmyra,Cairo.,Heliopolis,"27 El Ahram St., El Korba",
Pharoun Oasis,Giza.,El Haram,"130 Haram St., El Talbeya",
Philae Restaurant,Aswan.,El Corniche,79 Corniche El Nil St.,
Pianto Restaurant,El Beheira.,Damanhour,"Sudan St., El Saah Sq.",
Pigo,Giza.,Imbaba,"Block 15, El Matar Bldgs., El Matar St., El Monira El Gharbeya",
Pistro,Kaliobeya.,Banha,"Mekka St., Villas Zone",
Plus 90 Cafe,Cairo.,Nasr City,60 Abou Dawoud El Zahery St.,
Pona Pasta,Kaliobeya.,Shoubra El Khaymah,"El Fardous Tower, ",
Port Said Restaurant,El Dakahleya.,Belqas,Abou Regaila St.,
Princess Cafe & Restaurant,"Cairo.
See All Branches
❯",New Cairo,"El Tesaeen El Ganouby St., 5th Compound",
Qadry El Sharqawy Restaurant,Cairo.,Ain Shams El Gharbeya,33 El Arbaeen St.,
Qashqoush Restaurant,El Monofeya.,Minuf,4 Zein El Din St.,
Qasr El Baron Restaurant,Cairo.,Heliopolis,67 El Nozha St.,
Qasr El Kbabgi Restaurant,"Cairo.
See All Branches
❯",New Cairo,"El Tesaeen El Shamaly St., 5th Compound",
Qedra Restaurant,"Benisuef.
See All Branches
❯",Benisuef,Salah Salem St. Off El Iskan St.,
Qedra We Tasa,Cairo.,New Cairo,"Zezenia Compound, 5th Compound",
Queen,Kaliobeya.,Obour City,Green Land Complex,
Queen Land Village,Alexandria.,El Asafra Bahary,5 Atlas St.,
Quota,"Giza.
See All Branches
❯",El Haram,"El Daght El Aaly St., Zone T, Hadayek El Ahram",
R3d Restaurant,Giza.,Agouza,60 Damietta St.,
Rabea El Fayoumi Restaurant,El Sharkeya.,10th Of Ramadan,"1st District, City Center",
Rabea El Sharqawy Restaurant,"Cairo.
See All Branches
❯",Hadayek El Kobba,56 El Dowidar St.,
Rabea El Sharqawy Restaurant,Cairo.,Nasr City,"14 Abdullah El Araby St., Extension Of El Tayaran St., 7th District",
Rahraha Cafe & Restaurant,Giza.,El Haram,"3 Ahl El Khair St. Off Khatam El Morsaleen St., El Omraneya El Sharkeya",
Ramses Fresh,"Cairo.
See All Branches
❯",Heliopolis,"19 A Hadaeq El Obour Bldgs. Salah Salem Rd., Floor 8",
Ramzy,Cairo.,Shoubra,143 Abou El Farag St.,
Rawan Restaurant,Giza.,Faisal,Nabil Taha St.,
Rawi Restaurant,Giza.,Dokki,1 El Galaa Sq.,
Raya Restaurant,Giza.,6th of october,"Central Spine, El Hosary Sq., 7th District",
Re7an Cafe & Restaurant,Giza.,Mohandeseen,"39 El Hegaz St., Off Lebanon St.",
Reda Restaurants,Cairo.,Nasr city,"4 A Arab Organization For Industrialization Bldgs., ",
Regheef & Nos,Cairo.,Hadayek el kobba,91 Misr & Sudan St.,
Reghif Hawawshy,Giza. See All Branches❯,6th of october,"Dr. Atef Sedqy St., Zayed 2000 Entrance, El Sheikh Zayed",
Rihan Sons Restaurant,Giza.,Imbaba,1 Hussein Mahran St.,
Rika Restaurant,El sharkeya.,El zagazig,El Shaheed Ahmed Ismail St.,
Rio Cafe,Cairo. See All Branches❯,Heliopolis,"Omar Ibn El Khattab St., Almaza Sq., Almaza",
Ritz Eatery & Cafe,Cairo.,New cairo,"El Tesaeen El Shamaly St., Trivium Sq.",
River Cafe,Cairo.,Zamalek,Saray El Gezirah St.,
Robaa Meshakel,Cairo.,Maadi,"91 Emtedad El Amal Towers, Autostrad Rd.",
Rokn El Hmam,Giza.,Mohandeseen,11 El Koroum St.,
Rook El Sharkawy,Cairo.,Gesr el suez,144 Gesr El Suez St.,
Roshdy Restaurant,El dakahleya.,El mansoura,Gihan St.,
Royal Taste Restaurant,Hurghada.,Downtown,"El Thalathin St., Arabeya Area",
Sa3eda Restaurants,Cairo.,El nozha el gadida,"52 Rd. 1, 1st Zone",
Sa7arona,Cairo.,Nasr city,Dr. Mohamed Ibrahim St. Off Abbas El Akkad St.,
Sabaya Kitchen,Alexandria.,Semouha,14th Of May Rd.,
Sadeq Sons Restaurant,Cairo. See All Branches❯,Ain shams,102 Ahmed Essmat St.,
Saheb El Saadah Restaurant,Giza.,Dokki,"2 Nasr Soliman St., Off Dokki St.",
Saheb El Saadah Restaurant & Cafe,Cairo. See All Branches❯,El gamaleya,121 El Moez Ledin Allah El Fatemy St.,
Said El Sharkawy Restaurant,Cairo.,Helmeyet el zaitoun,9 Ain Shams St.,
Said El Sharkawy Restaurant,Giza.,Giza,29 El Mahatta St.,
Said El Sharqawy Restaurant,Cairo.,El marg,310 Moassaset El Zakah St.,
Said Habib Restaurant,Kaliobeya.,Shebein el kanater,7 Port Said St.,
Salah,El monofeya.,Sars ellayan,Port Said St.,
Salama Sons Restaurant,Giza.,Imbaba,2 Gamal Abdel Nasser St.,
Saleh Fatouh Restaurant,Alexandria. See All Branches❯,El mansheya,53 Mahmoud Fahmy El Noqrashy St.,
Salman El Iskandarany Restaurant,Giza.,Imbaba,"2 Ahmed Hussein St., El Monira El Gharbeya",
Salsa,Assyout.,Assyout,El Namees St.,
Salt & Bread Restaurant & Coffee Shop,Luxor.,Luxor,"El Gomhoureya St. el mahatta sq., LUXOR",
Saltana Restaurant For B.B.Q,Cairo. See All Branches❯,Nasr city,"24 saqaleya St., Off Makram Ebaid St., 6th Zone",
Samba Cafe & Restaurant,Cairo.,Nasr city,"10 Abdel Fattah Ismail St. Off El Tayaran St., 1st Zone",
Samir,Cairo.,El sayeda zeinab,44 Zein El Abedeen St.,
Sams Restaurant,Giza.,6th of october,"El Mehwar El Markazy, 10th District",
San George Restaurant,Giza.,Giza,7 Radwan Ibn El Tabib St.,
Sandwich Bahnas,Cairo.,Maadi,"38 El Kuwaiteya Co. Bldgs., , New Maadi",
Saroukh Restaurant,Kaliobeya.,Bahteem,1 Qameiha St.,
Sawa Restaurant And Cafe,El Ain El Sokhna.,El Ain El Sokhna,"Km 31 El Ain El Sokhna Rd., El Zaafarana",
Sawarekh Restaurant,"Alexandria.
See All Branches
❯",El Gomrok,80 El Tarsana St.,
Sayed El Sharqawy Restaurant,Cairo.,Ain Shams El Sharkeya,"1 Abou El Fotouh Abdullah St., Zahraa Ain Shams",
Sayed Moursy Sons,Kaliobeya.,Shoubra El Khaymah,41 El Teraa El Boulaqeya St.,
Sayed Restaurant,Giza.,Mohandeseen,1 26th Of July St.,
Sayed Soliman Restaurant,Giza.,Imbaba,"26 El Horus St., Ard El Haddad",
Sea Star Restaurant,North Coast.,Alex. Matrouh Desert Rd.,"Km 40.5, ",
Sebaq Sons,Cairo.,El Zawia El Hamra,"82 El Sharekat St., El Qosayareen",
Seedo Falafel,Giza.,6th Of October,"Waslet Dahshour Rd., El Sheikh Zayed",
Sehs Restaurant,Kaliobeya.,Shoubra El Khaymah,5 El Mallah St.,
Sehss,Alexandria.,Semouha,Ismail Helmy St.,
Semiramis Restaurant,Alexandria.,Raml Station,82 Corniche Rd.,
Serjieh,Cairo.,Al Rehab City,"Mosaab Ibn Omair St., Phase 9",
Set El Kol Restaurant,El Monofeya.,Ashmoun,5 Mohamed Mohsen Hamad St.,
Shabaa Restaurant,Cairo.,Heliopolis,El Nozha St.,
Shabrawi Dream,Giza.,6th Of October,El Wahat Rd.,
Shabrawy El Motamayez,Giza.,6th Of October,"., El Motamayez District",
Shabrawy Zaman,"Cairo.
See All Branches
❯",Nasr City,"26 Samir Abdel Raouf St., Extension Of Makram Ebaid St., 8th District",
Shahrayar Restaurant,Giza.,El Haram,"102 El Lebbiny St., El Mariouteya",
Shakl Restaurant,Cairo.,Shoubra,"99 El Warsha St., Victoria Sq.",
Shalaolao Restaurant,Cairo.,Heliopolis,"Anqara St., Sheraton Bldgs.",
Shanabo Restaurant,Giza.,El haram,"El Mostashfa St., Off Haram St., El Mariouteya",
Shandwich,Cairo. See All Branches❯,Maadi,"35 Rd. 232, Floor 1, Degla",
Sharaf El Din Restaurant,Giza.,Boulak el dakrour,6 El Tahrir St.,
Sharqawy Qebaa - Essam El Sharqawy,Cairo.,Kebaa city,25 Ibrahim El Khalili St.,
Sharqawy Restaurant,Cairo.,Ezbet el nakhl,78 Mostafa El Sherif St.,
Shatshata Restaurant,Giza.,El haram,"79 Othman Moharram St., El Talbeya",
Shay Belemon Restaurant,Giza.,Dokki,50 Amman St.,
She5 El Smeen,Ismaileya.,El khamsah,", El Mammar Sq.",
Sheikh El Arab El Negmy Restaurant,Kaliobeya.,Shoubra el khaymah,El Teraa El Boulaqeya St.,
Sheikh El Balad,Cairo. See All Branches❯,El matareya,"95 El Matareya St., El Matareya Sq.",
Shewayt Kebda,Cairo.,Maadi,"17 Rd. 151, Off Rd. 100, El Horreya Sq.",
Shiko Kitchen,Alexandria.,El seyouf,", .",
Shimo For Homemade Food,Giza.,El warak,17 Mohamed Hanafy Salman St.,
Shisha Corner,Taba.,Nuweibaa taba rd.,"Km 2, ",
Shrim Pasha,Cairo.,Nasr city,22 Abdel Hakim El Refaey St. Off Abbas El Akkad St.,
Si Omar - Sedky Trade - Fast Break,Alexandria.,Moharram bey,.,
Si Omar Restaurant,Kaliobeya.,Obour city,"Mahaleya 6, , 1St District",
Siesta Marina Restaurant,North coast.,El alamein,"Marina, Alamain",
Sigma 66,Cairo.,New cairo,"Salah El Din Abdel Karim St., 1st Compound",
Skalans Restaurant,Cairo. See All Branches❯,Nasr city,Makram Ebaid St.,
Smart Deli,Giza.,6th of october,", 2nd Neighbourhood, District 12, El Sheikh Zayed",
Smile To Life Restaurant,Cairo.,Nasr city,"3 Mohamed Korayem st., 6th Zone",
Smorll Egy,Cairo.,Madinty,Talaat Mostafa Rd.,
Sobhy El Fallah Restaurant,Cairo.,El marg,2 Mohamed El Fallah St.,
Sofra Restaurant,Hurghada.,Makadi bay,Km 32 Hurghada Safaga Rd.,
Sofra Restaurant,Sharm el sheikh.,Nabq bay,.,
Sofra Restaurant,Giza.,El haram,", Abou El Houl Sq., Nazlet El Semman",
Sofra W Tableya Restaurant,Giza.,6th of october,", Central Spine, Magda Sq.",
Sofret Ismail,Cairo.,Heliopolis,179 El Nozha St.,
Sole Dining,Cairo.,New cairo,", Mohamed Naguib Spine",N/A
Soso Restaurant,Giza.,El haram,"436 El Guish St., Hadayek El Ahram",
Soula Take Away,Alexandria.,El shatby,6 Abdel El Hamid Abou Heif St.,
Soultana Resort,Giza.,El haram,"Bldg. 18K, Hadayek El Ahram",
Spazio Restaurant And Cafe,Port said.,El shark district,"Memphis St., Intersection Of 23rd July St.",
Spicy,El dakahleya.,Belqas,El Thawra St.,
Spoons Restaurant,Alexandria.,Loran,31 El Eqbal St.,
St. Tropez Restaurant & Cafe,Alexandria.,Kafr abdou,25 Saint Gini St.,
Stanely Restaurant,Giza.,Mohandeseen,33 Ahmed Orabi St.,
Sultan El Hawawshy El Iskandarany,Giza. See All Branches❯,Faisal,"368 Faisal St., El Talbeya",
Sultan El Hawawshy El Iskandarany,Damietta.,Damietta,98 Aly Mosharrafa St.,
Sultan El Iskandarany Restaurant,Kaliobeya.,El khosous,69 El Sarf El Sehhy St.,
Sultan Kitchen,El dakahleya.,Aga,Ahmed Maher St.,
Sultana Restaurant,Hurghada.,El hadaba,Sheraton Rd.,
Summer Palace Restaurant,Marsa matrouh.,Downtown,Goal Gamal St.,
Sun Shine Restaurant,Assyout.,Assyout,48 Corniche El Nil ST.,
Ta2ah Restaurant,Alexandria.,Semouha,"83 Taawoneyat Semouha Bldgs., Garden City St.",
Ta2ta2 & Naa Naa Restaurant,Giza.,Mohandeseen,"35 Demascus St., Off Syria St.",
Tabakh El Rayes Restaurant,Cairo.,Heliopolis,Ahmed Zaky St.,
Tableya Masreya,Cairo.,Nasr City,Omar Ibn El Khattab St.,
Tableyt Zaman Restaurant,Cairo.,Nasr City,39 Abdel Hakim El Refaey St.,
Tabliah,Ismaileya.,El Khamsah,"Bldg. 19, ",
Tag El Sham Restaurant,"Giza.
See All Branches
❯",6th Of October,", Central Spine, 10th District",
Tagen Restaurant,Cairo.,Nasr City,1 /4 Anwar El Mofty St. Off Abbas El Akkad St.,
Tagen W Bram,Cairo.,Heliopolis,"7 EL Horreya St., Ard El Golf",
Tagen Zaman Restaurant,Giza.,Giza,"El Mahatta St., Off El Bahr El Aazam St.",
Taj Hadramot Restaurant,Giza.,Mohandeseen,54 Gamaet El Dewal El Arabeya St.,
Tak3iba Cafe & Restaurant,Giza.,Dokki,"2 El Ansar St., Intersection Of El Tobgy St.",
Take Away Baba Abdou,"Cairo.
See All Branches
❯",Bab El Shaareya,"3 Mostafa Talaat St., Off El Banhawy St., Bab El Fotouh",
Tamr Henna Restaurant,El gouna.,Downtown,.,
Tanora,Giza.,6th of october,"4 El Thawra El Khadraa St. Intersection Of Zohour Rihana St., El Sheikh Zayed",
Tante Restaurant,Cairo. See All Branches❯,Nasr city,Youssef Abbas St.,
Tarek El Sharqawy,Cairo.,El herafeyeen,157 Gamal Abdel Nasser St.,
Tarek El Sharqawy Restaurant,Cairo.,El salam city,"71 El Qahera Bldgs., ",
Tasa & Fengan Restaurant & Cafe,Cairo.,Nasr city,23 Bank El Iskan & El Taamir Bldgs. Africa St.,
Tasberah Eskandrani,El gharbeya.,Tanta,Kafr Essam St. Off El Nady St.,
Tasha Restaurant,Giza.,6th of october,"Extension Of 26th Of July Spine, El Sheikh Zayed",
Tasha Restaurant,El gharbeya.,Tanta,"El Awqaf Bldg., El Bahr St.",
Tasha Restaurant,Giza.,Faisal,"104 Faisal St., El Mariouteya",
Tasha W Ta2lya,Cairo. See All Branches❯,Madinty,", Madinaty Oasis",
Tast El Haga Restaurant,Giza.,6th of october,"171 El Shohadaa St., 1st District",
Tawaam,Cairo.,El sayeda zeinab,18 Qadry St.,
Tawagen Abo Omar,Cairo. See All Branches❯,New cairo,"Rd. 66, Off El Tesaeen St., 5th Compound",
Tawagen Sokkar,Giza.,Dokki,"94 El Tahrir St., El Dokki Sq.",
Tayba Gourmet Restaurant,Cairo.,New cairo,"El Tesaeen El Ganouby St., 5th Compound",
Tayebat Masreya,Cairo.,Nasr city,"12 Atteya El Sawalhy St., 6th Zone",
Teatro Eskendria,Alexandria.,Raml station,25 Fouad St.,
Tekeyt El Prince,Giza.,El haram,7 Nasser El Thawra St.,
Tekyet Rozza,Cairo.,Misr el kadima,29 El Nafaq El Sharqy St.,
Telal Restaurant,Cairo.,Maadi,"147 Rd. 9, Demascus Sq.",
Teta Fransa Restaurant,Cairo.,El sawah,"2 A Secon Bldgs., El Sawah Sq.",
Teta Sons Restaurant,Giza.,Auseem,"1 Ibrahim Gamil St., Bashtil",
Tharwat Restaurant,Giza.,El haram,"59 Abou El Houl El Seyahy St., Nazlet El Semman",
Tharwat Saudi Restaurant,Cairo.,Bab el shaareya,243 El Guish St.,
The Cuisine Dawar El Omda,Cairo.,Madinty,"Group 32, Bldg.57, B3 Flat 31",
The Hub Cafe & Restaurant,Alexandria. See All Branches❯,Sidi gaber,El Guish Rd.,
The View Restaurant,Cairo.,Maadi,"29 A Corniche El Nil, Corniche El Maadi",
Tito's Restaurant,El menia.,Bani mazar,El Maahad El Diny St.,
Titos,Cairo.,Zamalek,"41 El Gezirah El Wosta St., Off Abou El Feda St.",
Tohama Restaurant,Giza.,Faisal,"45 El Shaheed Ahmed Hamdy St., Off El Eshreen St.",
Tooma’s Kitchen,Cairo.,Nasr city,"Seif El Din Barqouq St., 1st Zone",
Torento,Hurghada.,Sekala,sheraton Rd.,
Tota,Giza.,6th of october,El First District,
Tota Restaurant,El dakahleya.,El mansoura,El Gamaa District,
Transit,Cairo.,Heliopolis,"7 Abdel Aziz El Hawary St. Off El Nozha St., Ard El Golf",
Trefle Restaurant & Cafe,Alexandria.,Sidi gaber,El Guish Rd.,
Tudor Rose Restaurant,Luxor.,Luxor,"Khaled Ibn El Walid St., LUXOR",
Tulip Restaurant,Cairo.,Kotsika,16 Corniche El Nil,
Tunis Village Restaurant,El fayoum.,Youssef el seddik,Wadi El Rayan Rd.,
UK - United Kebda,Cairo.,Zamalek,30 Hassan Assem St. Off Brazil St.,
Umm Hashem,Giza.,El haram,"1 Othman Abou Aly St., El Omraneya El Gharbeya",
Umm Hassan Restaurant,Giza. See All Branches❯,Mohandeseen,42 El Batal Ahmed Abdel Aziz St.,
Umm Walid Restaurant,Cairo.,Helwan,"23 Omar Ibn Abdel Aziz St. Intersection Of Rayel St., El Horreya Tower",
Uncle Tonny,Cairo. See All Branches❯,Heliopolis,"62 El Horreya St., Almaza",
Viletto,Giza.,6th of october,El Bashayer District,
Vinni Cafe & Deli,Giza.,Dokki,"22 Abdullah El Kateb St. - Hendawy St. Previously, Veiny Sq.",
Wa Gaalna Men El Maa Koul Sheia Hai,Alexandria.,Misr station,31 Ibn El Khattab St.,
Wadi El Nil,Cairo.,Misr el kadima,Hassan El Anwar St.,
Wadi El Nil,Alexandria.,Gheit el enab,7 Ragheb Pasha St.,
Wadi El Nil Restaurant,Cairo.,Kasr el ainy,2 Bostan El Fadel St.,
